企业代号,HHI,max_purchase_amount,max_sales_amount,Return_rate,Cancel_rate,Unstable_rate,Cus_rate,Q_avg_income,Q_out_profit_rate,Q_in_profit_rate,Q_profit_growth,Q_output_growth,Q_input_growth,Q_input,Year_avg_Sales,level
E1,0.062,9999984.51,999990.51,0.03,0.022,1.0,-0.05,-846379625.815,-0.793,-0.423,0.182,0.014,0.106,1723173460.5,876793834.685,1.0
E2,0.009,999047.62,95238.1,0.028,0.109,0.333,-0.229,111079764.708,0.727,2.869,0.087,0.029,-0.129,42934116.463,154013881.17,1.0
E3,0.123,757365.79,997656.4,0.257,0.032,3.0,-0.274,109328324.232,0.893,9.834,-0.357,-0.464,-0.349,14380209.583,123708533.815,3.0
E4,0.338,9465746.36,999999.32,0.004,0.093,3.0,0.266,324080407.95,40.01,2.252,-0.656,-0.781,-0.358,95101862.078,419182270.027,3.0
E5,0.196,6497091.72,999597.07,0.005,0.04,1.0,0.287,-13308961.305,-0.247,-0.188,4.465,7.354,6.98,58012553.433,44703592.127,2.0
E6,0.066,999285.71,990990.99,0.005,0.12,0.333,1.458,11213525.4,0.13,0.188,2.373,5.218,7.711,112978654.523,124192179.923,1.0
E7,0.021,528517.48,999998.29,0.271,0.025,3.0,-0.548,93445530.568,0.272,4.308,-0.491,-0.601,-0.257,16663399.195,110108929.763,1.0
E8,0.004,5253796.61,99999.99,0.035,0.13,1.0,-0.357,49895314.707,0.545,1.217,-0.177,-0.218,-0.197,45266876.792,95162191.5,1.0
E9,0.051,743915.09,99999.0,0.027,0.031,0.333,-0.039,62856983.378,0.907,9.883,-0.154,-0.21,-0.25,6675592.533,69532575.91,1.0
E10,0.096,58685.27,999900.0,0.003,0.083,0.333,0.241,110719090.0,0.98,69.638,1.969,1.991,-3247.651,2159536.85,112878626.85,2.0
E11,0.398,993033.98,990825.69,0.001,0.027,0.333,-0.364,-4360588.935,109.445,-0.383,-17.984,-125613.91,266.146,38862392.528,34501803.592,3.0
E12,0.474,3592233.01,999909.91,0.004,0.085,1.0,0.5,27646217.81,1095.479,1.706,-29.074,-395949.052,51.371,27805678.658,55451896.467,2.0
E13,0.061,1237876.11,995344.81,0.016,0.128,1.0,-0.45,23510470.125,0.269,0.636,0.124,-0.247,-0.393,27531042.335,51041512.46,1.0
E14,0.01,909090.91,984957.26,0.01,0.096,0.5,0.024,18306305.633,0.285,0.422,0.275,0.02,-0.042,46123692.123,64429997.757,3.0
E15,0.708,122982.52,97087.38,-0.0,0.065,0.333,0.333,61390709.467,0.975,2935.736,0.369,0.389,40.487,1601314.813,62992024.28,1.0
E16,0.06,19902.91,999284.71,-0.0,0.116,0.333,1.155,72376415.18,0.998,1302.972,1.467,1.468,-80.433,97749.473,72474164.653,1.0
E17,0.04,866254.18,989527.11,0.017,0.195,0.0,0.204,3668575.133,0.099,0.156,-0.182,3.306,7.431,51715906.337,55384481.47,1.0
E18,0.12,999285.71,970873.78,0.005,0.102,0.333,2.279,14907966.52,0.242,0.38,2.737,3.704,4.577,48674666.157,63582632.677,1.0
E19,0.014,2264755.74,99999.68,0.021,0.104,0.333,0.592,-17948552.587,-0.336,-0.243,-173.364,1.173,1.736,70514360.357,52565807.77,1.0
E20,0.318,5641478.53,991379.31,-0.0,0.068,0.0,-0.237,-16633912.513,-0.313,-0.235,2.797,1.242,1.442,70415493.593,53781581.08,2.0
E21,0.25,1652427.18,97087.38,0.033,0.026,0.0,3.238,-9653237.977,-0.3,-0.219,3.229,4.648,4.002,45950050.44,36296812.463,2.0
