企业代号,HHI,max_purchase_amount,max_sales_amount,Return_rate,Cancel_rate,Unstable_rate,Cus_rate,Q_avg_income,Q_out_profit_rate,Q_in_profit_rate,Q_profit_growth,Q_output_growth,Q_input_growth,Q_input,Year_avg_Sales
E124,0.068,5504587.16,999999.99,0.039,0.195,0.0,0.152,-61875134.447,-0.126,-0.065,-0.968,1.148,1.993,330727087.657,268851953.21
E125,0.051,5504587.16,999999.99,0.031,0.167,0.0,0.397,-59071597.047,-0.078,0.007,0.068,0.622,1.34,392604409.693,333532812.647
E126,0.064,999961.31,999296.12,0.027,0.207,0.0,0.465,157784440.22,0.786,3.963,0.398,0.649,1.173,44668780.213,202453220.433
E127,0.129,283018.87,999999.99,0.002,0.069,0.5,0.4,224685984.377,0.997,586.653,-0.107,-0.159,1.225,618257.647,225304242.023
E128,0.947,359223.3,970873.79,-0.0,0.054,0.0,-0.417,78645112.64,0.959,29.383,0.479,0.736,2.421,3596013.293,82241125.933
E129,0.011,990709.4,99993.23,0.017,0.134,2.0,-0.009,69059995.483,0.67,2.108,-0.038,-0.141,-0.258,34937671.61,103997667.093
E130,0.788,970873.79,99090.91,0.016,0.048,0.0,-0.089,6394796.103,0.257,1.495,-3.732,5.626,13.577,28513312.333,34908108.437
E131,0.01,909090.91,984957.26,0.01,0.096,0.5,0.022,18306305.633,0.285,0.422,0.275,0.02,-0.042,46123692.123,64429997.757
E132,0.021,800884.96,970873.79,0.012,0.097,0.5,0.394,42898203.1,0.659,2.366,0.093,0.408,1.583,25013006.733,67911209.833
E133,0.51,970873.79,973902.91,0.016,0.233,0.5,1.05,30966882.27,0.487,2.315,-18.13,2.377,0.717,14351193.037,45318075.307
E134,0.007,1219827.59,94339.62,0.022,0.073,0.0,2.006,37770220.863,0.972,57.604,1.254,1.289,4.614,1473592.797,39243813.66
E135,0.093,968446.61,999047.62,0.052,0.155,0.0,0.716,35271441.173,0.844,166.625,0.563,0.782,-201.548,9160042.79,44431483.963
E136,0.55,99983.01,99993.49,0.002,0.06,0.5,0.083,-9231249.177,-0.332,-0.242,0.605,2.556,1.953,44112156.61,34880907.433
E137,0.134,999523.81,961165.05,0.023,0.108,1.0,0.044,6418901.59,0.006,0.129,-2.259,0.797,0.178,38238555.903,44657457.493
E138,0.04,728761.06,99974.36,0.006,0.031,0.0,0.06,23357757.63,0.736,3.15,0.411,0.535,0.649,8082546.837,31440304.467
E139,0.11,355339.81,99999.9,0.003,0.088,2.0,0.224,64087908.51,0.991,125.982,-0.045,-0.063,0.613,592547.57,64680456.08
E140,0.111,148543.68,970873.79,0.017,0.234,1.0,-0.133,67999686.007,0.964,171.178,0.022,0.058,15.93,2618308.51,70617994.517
E141,0.017,277692.67,99999.0,0.023,0.053,0.333,0.466,39378573.55,0.77,3.551,0.175,0.371,0.798,12700711.097,52079284.647
E142,0.285,884955.75,99999.09,0.004,0.066,0.0,0.157,11403182.91,0.377,0.623,1.705,2.737,4.971,19161140.777,30564323.687
E143,0.366,411964.08,991150.44,0.014,0.049,0.333,-0.496,14034110.32,0.506,1.207,1.969,3.354,4.724,11974108.397,26008218.717
E144,0.133,999285.71,99902.91,0.046,0.096,0.333,0.484,28673319.963,0.924,13.965,5.549,8.803,19.851,2733930.07,31407250.033
E145,0.092,976143.73,99999.06,0.018,0.116,0.0,0.307,-5668890.233,-0.185,-0.137,0.715,0.929,0.851,40408296.71,34739406.477
E146,0.079,999991.28,970873.79,0.021,0.141,0.333,1.933,-4987139.97,-0.117,-0.104,-1.466,2.776,4.88,49168903.177,44181763.207
E147,0.059,999523.81,97087.38,0.007,0.021,1.0,3.214,4005570.653,0.026,0.106,8.055,16.353,33.509,55248990.737,59254561.39
E148,0.006,970873.79,892678.1,0.007,0.05,0.333,0.421,16041322.887,26806.511,4.079,0.032,-164465.615,0.372,10743156.543,26784479.43
E149,0.218,131533.27,99999.03,0.024,0.067,1.0,-0.045,33077674.577,0.993,196.692,1.234,1.841,0.888,194953.597,33272628.173
E150,0.069,999285.71,970873.79,0.0,0.101,0.0,0.916,7038003.453,0.23,0.334,0.28,1.914,34.791,30350850.587,37388854.04
E151,0.128,993140.34,990990.99,-0.0,0.056,0.333,0.233,29366107.98,0.775,10.569,-43.114,-48148.579,40.836,4435849.593,33801957.573
E152,0.693,247148.52,99999.01,0.006,0.019,0.0,-0.144,35050214.413,0.943,19.09,2.884,2.914,3.842,2258153.103,37308367.517
E153,0.488,9708.74,995145.63,0.002,0.26,2.0,0.333,95471486.42,1.0,150815.965,-0.333,-0.5,96.464,31025.667,95502512.087
