企业代号,企业名称,信誉评级
E124,个体经营E124 ,A
E125,个体经营E125 ,A
E126,个体经营E126 ,A
E127,个体经营E127 ,B
E128,个体经营E128 ,C
E129,个体经营E129 ,A
E130,个体经营E130 ,C
E131,个体经营E131 ,A
E132,个体经营E132 ,A
E133,个体经营E133 ,C
E134,***工程咨询有限公司,C
E135,***建设工程有限公司,B
E136,***机械有限责任公司,C
E137,***建设工程有限公司,B
E138,个体经营E138 ,C
E139,个体经营E139 ,B
E140,***建筑工程有限公司,B
E141,***食品有限公司,A
E142,***运业有限公司,B
E143,***电子科技有限公司,C
E144,***劳务有限公司,B
E145,***工贸有限公司,C
E146,***基础建设工程有限公司,C
E147,***装饰工程有限责任公司,A
E148,***商贸有限公司,C
E149,***建筑劳务有限公司,B
E150,***建设工程有限公司,C
E151,***路桥工程有限公司,B
E152,***运贸有限责任公司,C
E153,个体经营E153 ,C
E154,***汽车销售服务有限公司,C
E155,个体经营E155 ,C
E156,个体经营E156 ,B
E157,***环境设备工程有限公司,B
E158,***装饰工程有限公司,B
E159,个体经营E159 ,C
E160,***钢结构工程有限公司,B
E161,***建筑劳务有限责任公司,A
E162,***网络信息安全有限公司,C
E163,***物流有限公司,C
E164,个体经营E164 ,C
E165,***文化传媒股份有限公司,C
E166,***建筑工程有限公司,C
E167,***体育文化股份有限公司,C
E168,***建材有限公司,C
E169,***建筑设计有限公司,C
E170,***建筑劳务有限公司,B
E171,***质量检验测试站,C
E172,***物流有限公司,B
E173,***贸易有限责任公司,C
E174,***工程技术有限公司,C
E175,***食品集团有限公司,C
E176,***科技有限公司,B
E177,***电力工程有限公司,C
E178,***贸易有限公司,C
E179,***园林有限公司,C
E180,***电气有限公司,C
E181,***食品有限公司,C
E182,***新材料科技有限公司,C
E183,***建设工程有限公司,C
E184,***建筑装饰工程有限公司,B
E185,***生态魔芋有限公司,B
E186,***建筑劳务有限公司,C
E187,个体经营E187 ,C
E188,***硬质合金有限公司,C
E189,***石油工程技术服务有限公司,B
E190,***劳务有限公司,B
E191,***商贸有限责任公司,C
E192,***建设工程有限公司,B
E193,个体经营E193 ,A
E194,***文化传播有限公司,A
E195,***医药有限公司,C
E196,***地质制图印刷厂,A
E197,***医疗设备有限公司,A
E198,***商贸有限公司,C
E199,***建筑劳务有限公司,B
E200,个体经营E200 ,C
E201,***物流有限责任公司,C
E202,个体经营E202 ,C
E203,***建设工程有限公司,C
E204,***科技发展有限公司,C
E205,个体经营E205 ,C
E206,***建设工程有限公司,C
E207,个体经营E207 ,C
E208,个体经营E208 ,C
E209,***工程检测有限公司,C
E210,***建筑工程有限公司,C
E211,个体经营E211 ,C
E212,***建电管理咨询有限公司,A
E213,***科技有限公司,C
E214,***建筑工程有限公司,C
E215,***建筑工程有限公司,B
E216,***建设工程有限公司,B
E217,个体经营E217 ,C
E218,***建设工程有限公司,C
E219,***品牌营销策划有限公司,C
E220,***文化传播有限公司,C
E221,***测绘服务有限公司,C
E222,***数码科技有限公司,C
E223,***科技有限公司,B
E224,***纸业有限公司,B
E225,***物业服务有限责任公司***分公司,A
E226,***建设工程有限公司,C
